category,package,name_on_pypi,snapshot_label,snapshot_date,selected_version,release_date,status,package_norm,name_on_pypi_norm,snapshot_order,is_missing_at_snapshot,is_released_at_snapshot,is_stable_version,is_usable_snapshot
App/Service,chainlit,chainlit,2022_end,2022-12-31,,,not_released_yet,chainlit,chainlit,1,True,False,False,False
App/Service,chainlit,chainlit,2023_end,2023-12-31,0.7.700,2023-11-28 14:14:40.217759+00:00,ok,chainlit,chainlit,2,False,True,True,True
App/Service,chainlit,chainlit,2024_end,2024-12-31,1.3.2,2024-11-08 10:42:53.944061+00:00,ok,chainlit,chainlit,3,False,True,True,True
App/Service,chainlit,chainlit,2025_end,2025-12-31,2.9.4,2025-12-25 03:41:22.833198+00:00,ok,chainlit,chainlit,4,False,True,True,True
App/Service,chainlit,chainlit,2026_current,2026-06-16,2.11.1,2026-04-22 00:56:26.413060+00:00,ok,chainlit,chainlit,5,False,True,True,True
App/Service,fastapi,fastapi,2022_end,2022-12-31,0.88.0,2022-11-27 14:54:57.652470+00:00,ok,fastapi,fastapi,1,False,True,True,True
App/Service,fastapi,fastapi,2023_end,2023-12-31,0.108.0,2023-12-26 20:25:32.221935+00:00,ok,fastapi,fastapi,2,False,True,True,True
App/Service,fastapi,fastapi,2024_end,2024-12-31,0.115.6,2024-12-03 22:45:59.368085+00:00,ok,fastapi,fastapi,3,False,True,True,True
App/Service,fastapi,fastapi,2025_end,2025-12-31,0.128.0,2025-12-27 15:21:12.154321+00:00,ok,fastapi,fastapi,4,False,True,True,True
App/Service,fastapi,fastapi,2026_current,2026-06-16,0.137.1,2026-06-15 11:28:19.523192+00:00,ok,fastapi,fastapi,5,False,True,True,True
App/Service,gradio,gradio,2022_end,2022-12-31,3.15.0,2022-12-21 16:36:52.026530+00:00,ok,gradio,gradio,1,False,True,True,True
App/Service,gradio,gradio,2023_end,2023-12-31,4.12.0,2023-12-22 21:09:15.957834+00:00,ok,gradio,gradio,2,False,True,True,True
App/Service,gradio,gradio,2024_end,2024-12-31,5.9.1,2024-12-16 23:26:54.825852+00:00,ok,gradio,gradio,3,False,True,True,True
App/Service,gradio,gradio,2025_end,2025-12-31,6.2.0,2025-12-19 18:29:34.922496+00:00,ok,gradio,gradio,4,False,True,True,True
App/Service,gradio,gradio,2026_current,2026-06-16,6.18.0,2026-06-11 23:57:14.196249+00:00,ok,gradio,gradio,5,False,True,True,True
App/Service,modal,modal,2022_end,2022-12-31,,,not_released_yet,modal,modal,1,True,False,False,False
App/Service,modal,modal,2023_end,2023-12-31,0.56.4390,2023-12-29 00:31:05.369762+00:00,ok,modal,modal,2,False,True,True,True
App/Service,modal,modal,2024_end,2024-12-31,0.70.2,2024-12-30 13:33:15.317042+00:00,ok,modal,modal,3,False,True,True,True
App/Service,modal,modal,2025_end,2025-12-31,1.3.0.post1,2025-12-20 02:47:53.726469+00:00,ok,modal,modal,4,False,True,True,True
App/Service,modal,modal,2026_current,2026-06-16,1.5.0,2026-06-09 22:37:24.608185+00:00,ok,modal,modal,5,False,True,True,True
App/Service,streamlit,streamlit,2022_end,2022-12-31,1.16.0,2022-12-15 00:02:23.223856+00:00,ok,streamlit,streamlit,1,False,True,True,True
App/Service,streamlit,streamlit,2023_end,2023-12-31,1.29.0,2023-11-30 20:05:42.901447+00:00,ok,streamlit,streamlit,2,False,True,True,True
App/Service,streamlit,streamlit,2024_end,2024-12-31,1.41.1,2024-12-13 21:22:11.100767+00:00,ok,streamlit,streamlit,3,False,True,True,True
App/Service,streamlit,streamlit,2025_end,2025-12-31,1.52.2,2025-12-17 17:07:57.670782+00:00,ok,streamlit,streamlit,4,False,True,True,True
App/Service,streamlit,streamlit,2026_current,2026-06-16,1.58.0,2026-05-28 18:02:41.993705+00:00,ok,streamlit,streamlit,5,False,True,True,True
Framework/Agent,autogen-agentchat,autogen-agentchat,2022_end,2022-12-31,,,not_released_yet,autogen-agentchat,autogen-agentchat,1,True,False,False,False
Framework/Agent,autogen-agentchat,autogen-agentchat,2023_end,2023-12-31,,,not_released_yet,autogen-agentchat,autogen-agentchat,2,True,False,False,False
Framework/Agent,autogen-agentchat,autogen-agentchat,2024_end,2024-12-31,0.2.40,2024-12-15 06:10:41.952685+00:00,ok,autogen-agentchat,autogen-agentchat,3,False,True,True,True
Framework/Agent,autogen-agentchat,autogen-agentchat,2025_end,2025-12-31,0.7.5,2025-09-30 06:16:12.895879+00:00,ok,autogen-agentchat,autogen-agentchat,4,False,True,True,True
Framework/Agent,autogen-agentchat,autogen-agentchat,2026_current,2026-06-16,0.7.5,2025-09-30 06:16:12.895879+00:00,ok,autogen-agentchat,autogen-agentchat,5,False,True,True,True
Framework/Agent,autogen-core,autogen-core,2022_end,2022-12-31,,,not_released_yet,autogen-core,autogen-core,1,True,False,False,False
Framework/Agent,autogen-core,autogen-core,2023_end,2023-12-31,,,not_released_yet,autogen-core,autogen-core,2,True,False,False,False
Framework/Agent,autogen-core,autogen-core,2024_end,2024-12-31,0.0.2,2024-08-16 21:40:32.368290+00:00,ok,autogen-core,autogen-core,3,False,True,True,True
Framework/Agent,autogen-core,autogen-core,2025_end,2025-12-31,0.7.5,2025-09-30 06:16:24.306172+00:00,ok,autogen-core,autogen-core,4,False,True,True,True
Framework/Agent,autogen-core,autogen-core,2026_current,2026-06-16,0.7.5,2025-09-30 06:16:24.306172+00:00,ok,autogen-core,autogen-core,5,False,True,True,True
Framework/Agent,crewai,crewai,2022_end,2022-12-31,,,not_released_yet,crewai,crewai,1,True,False,False,False
Framework/Agent,crewai,crewai,2023_end,2023-12-31,0.1.14,2023-12-30 14:12:18.851950+00:00,ok,crewai,crewai,2,False,True,True,True
Framework/Agent,crewai,crewai,2024_end,2024-12-31,0.86.0,2024-12-05 16:52:49.334919+00:00,ok,crewai,crewai,3,False,True,True,True
Framework/Agent,crewai,crewai,2025_end,2025-12-31,1.7.2,2025-12-19 21:43:59.147181+00:00,ok,crewai,crewai,4,False,True,True,True
Framework/Agent,crewai,crewai,2026_current,2026-06-16,1.14.7,2026-06-11 17:14:39.912300+00:00,ok,crewai,crewai,5,False,True,True,True
Framework/Agent,haystack-ai,haystack-ai,2022_end,2022-12-31,,,not_released_yet,haystack-ai,haystack-ai,1,True,False,False,False
Framework/Agent,haystack-ai,haystack-ai,2023_end,2023-12-31,,,not_released_yet,haystack-ai,haystack-ai,2,True,False,False,False
Framework/Agent,haystack-ai,haystack-ai,2024_end,2024-12-31,2.8.0,2024-12-05 11:26:38.502324+00:00,ok,haystack-ai,haystack-ai,3,False,True,True,True
Framework/Agent,haystack-ai,haystack-ai,2025_end,2025-12-31,2.21.0,2025-12-08 15:47:41.878178+00:00,ok,haystack-ai,haystack-ai,4,False,True,True,True
Framework/Agent,haystack-ai,haystack-ai,2026_current,2026-06-16,2.30.1,2026-06-09 13:26:41.324403+00:00,ok,haystack-ai,haystack-ai,5,False,True,True,True
Framework/Agent,langchain,langchain,2022_end,2022-12-31,0.0.53,2022-12-30 16:05:07.205264+00:00,ok,langchain,langchain,1,False,True,True,True
Framework/Agent,langchain,langchain,2023_end,2023-12-31,0.0.353,2023-12-29 17:10:05.896010+00:00,ok,langchain,langchain,2,False,True,True,True
Framework/Agent,langchain,langchain,2024_end,2024-12-31,0.3.13,2024-12-18 20:38:38.678730+00:00,ok,langchain,langchain,3,False,True,True,True
Framework/Agent,langchain,langchain,2025_end,2025-12-31,1.2.0,2025-12-15 14:51:40.802816+00:00,ok,langchain,langchain,4,False,True,True,True
Framework/Agent,langchain,langchain,2026_current,2026-06-16,1.3.9,2026-06-12 16:53:25.489345+00:00,ok,langchain,langchain,5,False,True,True,True
Framework/Agent,langchain-community,langchain-community,2022_end,2022-12-31,,,not_released_yet,langchain-community,langchain-community,1,True,False,False,False
Framework/Agent,langchain-community,langchain-community,2023_end,2023-12-31,0.0.7,2023-12-29 18:13:44.937428+00:00,ok,langchain-community,langchain-community,2,False,True,True,True
Framework/Agent,langchain-community,langchain-community,2024_end,2024-12-31,0.3.13,2024-12-19 14:48:47.585692+00:00,ok,langchain-community,langchain-community,3,False,True,True,True
Framework/Agent,langchain-community,langchain-community,2025_end,2025-12-31,0.4.1,2025-10-27 15:20:30.767042+00:00,ok,langchain-community,langchain-community,4,False,True,True,True
Framework/Agent,langchain-community,langchain-community,2026_current,2026-06-16,0.4.2,2026-05-22 19:42:57.103325+00:00,ok,langchain-community,langchain-community,5,False,True,True,True
Framework/Agent,langchain-core,langchain-core,2022_end,2022-12-31,,,not_released_yet,langchain-core,langchain-core,1,True,False,False,False
Framework/Agent,langchain-core,langchain-core,2023_end,2023-12-31,0.1.4,2023-12-29 16:36:24.351660+00:00,ok,langchain-core,langchain-core,2,False,True,True,True
Framework/Agent,langchain-core,langchain-core,2024_end,2024-12-31,0.3.28,2024-12-19 22:56:00.680371+00:00,ok,langchain-core,langchain-core,3,False,True,True,True
Framework/Agent,langchain-core,langchain-core,2025_end,2025-12-31,0.3.81,2025-12-23 01:02:27.008771+00:00,ok,langchain-core,langchain-core,4,False,True,True,True
Framework/Agent,langchain-core,langchain-core,2026_current,2026-06-16,1.4.7,2026-06-12 19:23:55.826877+00:00,ok,langchain-core,langchain-core,5,False,True,True,True
Framework/Agent,langchain-openai,langchain-openai,2022_end,2022-12-31,,,not_released_yet,langchain-openai,langchain-openai,1,True,False,False,False
Framework/Agent,langchain-openai,langchain-openai,2023_end,2023-12-31,,,not_released_yet,langchain-openai,langchain-openai,2,True,False,False,False
Framework/Agent,langchain-openai,langchain-openai,2024_end,2024-12-31,0.2.14,2024-12-19 21:51:39.300486+00:00,ok,langchain-openai,langchain-openai,3,False,True,True,True
Framework/Agent,langchain-openai,langchain-openai,2025_end,2025-12-31,1.1.6,2025-12-18 17:58:51.527876+00:00,ok,langchain-openai,langchain-openai,4,False,True,True,True
Framework/Agent,langchain-openai,langchain-openai,2026_current,2026-06-16,1.3.2,2026-06-13 05:42:11.088321+00:00,ok,langchain-openai,langchain-openai,5,False,True,True,True
Framework/Agent,langgraph,langgraph,2022_end,2022-12-31,,,not_released_yet,langgraph,langgraph,1,True,False,False,False
Framework/Agent,langgraph,langgraph,2023_end,2023-12-31,,,not_released_yet,langgraph,langgraph,2,True,False,False,False
Framework/Agent,langgraph,langgraph,2024_end,2024-12-31,0.2.60,2024-12-18 13:59:24.745851+00:00,ok,langgraph,langgraph,3,False,True,True,True
Framework/Agent,langgraph,langgraph,2025_end,2025-12-31,1.0.5,2025-12-12 23:05:46.499684+00:00,ok,langgraph,langgraph,4,False,True,True,True
Framework/Agent,langgraph,langgraph,2026_current,2026-06-16,1.2.5,2026-06-12 20:30:57.018974+00:00,ok,langgraph,langgraph,5,False,True,True,True
Framework/Agent,llama-index,llama-index,2022_end,2022-12-31,,,not_released_yet,llama-index,llama-index,1,True,False,False,False
Framework/Agent,llama-index,llama-index,2023_end,2023-12-31,0.9.24,2023-12-30 16:51:55.906658+00:00,ok,llama-index,llama-index,2,False,True,True,True
Framework/Agent,llama-index,llama-index,2024_end,2024-12-31,0.12.8,2024-12-21 03:37:39.653365+00:00,ok,llama-index,llama-index,3,False,True,True,True
Framework/Agent,llama-index,llama-index,2025_end,2025-12-31,0.14.12,2025-12-30 01:06:55.123469+00:00,ok,llama-index,llama-index,4,False,True,True,True
Framework/Agent,llama-index,llama-index,2026_current,2026-06-16,0.14.22,2026-05-14 20:22:19.611321+00:00,ok,llama-index,llama-index,5,False,True,True,True
Framework/Agent,openai-agents,openai-agents,2022_end,2022-12-31,,,not_released_yet,openai-agents,openai-agents,1,True,False,False,False
Framework/Agent,openai-agents,openai-agents,2023_end,2023-12-31,,,not_released_yet,openai-agents,openai-agents,2,True,False,False,False
Framework/Agent,openai-agents,openai-agents,2024_end,2024-12-31,,,not_released_yet,openai-agents,openai-agents,3,True,False,False,False
Framework/Agent,openai-agents,openai-agents,2025_end,2025-12-31,0.6.4,2025-12-19 06:42:53.920292+00:00,ok,openai-agents,openai-agents,4,False,True,True,True
Framework/Agent,openai-agents,openai-agents,2026_current,2026-06-16,0.17.5,2026-06-11 04:12:32.485261+00:00,ok,openai-agents,openai-agents,5,False,True,True,True
Framework/Agent,pydantic-ai,pydantic-ai,2022_end,2022-12-31,,,not_released_yet,pydantic-ai,pydantic-ai,1,True,False,False,False
Framework/Agent,pydantic-ai,pydantic-ai,2023_end,2023-12-31,,,not_released_yet,pydantic-ai,pydantic-ai,2,True,False,False,False
Framework/Agent,pydantic-ai,pydantic-ai,2024_end,2024-12-31,0.0.16,2024-12-30 20:33:20.601494+00:00,ok,pydantic-ai,pydantic-ai,3,False,True,True,True
Framework/Agent,pydantic-ai,pydantic-ai,2025_end,2025-12-31,1.39.0,2025-12-24 03:33:59.844535+00:00,ok,pydantic-ai,pydantic-ai,4,False,True,True,True
Framework/Agent,pydantic-ai,pydantic-ai,2026_current,2026-06-16,1.107.0,2026-06-10 14:53:00.570125+00:00,ok,pydantic-ai,pydantic-ai,5,False,True,True,True
Framework/Agent,semantic-kernel,semantic-kernel,2022_end,2022-12-31,,,not_released_yet,semantic-kernel,semantic-kernel,1,True,False,False,False
Framework/Agent,semantic-kernel,semantic-kernel,2023_end,2023-12-31,,,not_released_yet,semantic-kernel,semantic-kernel,2,True,False,False,False
Framework/Agent,semantic-kernel,semantic-kernel,2024_end,2024-12-31,1.17.1,2024-12-19 22:32:03.465002+00:00,ok,semantic-kernel,semantic-kernel,3,False,True,True,True
Framework/Agent,semantic-kernel,semantic-kernel,2025_end,2025-12-31,1.39.0,2025-11-26 02:49:31.162533+00:00,ok,semantic-kernel,semantic-kernel,4,False,True,True,True
Framework/Agent,semantic-kernel,semantic-kernel,2026_current,2026-06-16,1.43.0,2026-06-03 22:41:25.497942+00:00,ok,semantic-kernel,semantic-kernel,5,False,True,True,True
LLM API,anthropic,anthropic,2022_end,2022-12-31,,,not_released_yet,anthropic,anthropic,1,True,False,False,False
LLM API,anthropic,anthropic,2023_end,2023-12-31,0.8.1,2023-12-22 14:54:32.302927+00:00,ok,anthropic,anthropic,2,False,True,True,True
LLM API,anthropic,anthropic,2024_end,2024-12-31,0.42.0,2024-12-17 20:41:57.361461+00:00,ok,anthropic,anthropic,3,False,True,True,True
LLM API,anthropic,anthropic,2025_end,2025-12-31,0.75.0,2025-11-24 20:41:43.587237+00:00,ok,anthropic,anthropic,4,False,True,True,True
LLM API,anthropic,anthropic,2026_current,2026-06-16,0.109.2,2026-06-15 17:30:23.124596+00:00,ok,anthropic,anthropic,5,False,True,True,True
LLM API,cohere,cohere,2022_end,2022-12-31,3.1.3,2022-12-23 22:01:29.620124+00:00,ok,cohere,cohere,1,False,True,True,True
LLM API,cohere,cohere,2023_end,2023-12-31,4.39,2023-12-15 17:40:47.148097+00:00,ok,cohere,cohere,2,False,True,True,True
LLM API,cohere,cohere,2024_end,2024-12-31,5.13.4,2024-12-20 11:59:18.168253+00:00,ok,cohere,cohere,3,False,True,True,True
LLM API,cohere,cohere,2025_end,2025-12-31,5.20.1,2025-12-18 16:39:49.504059+00:00,ok,cohere,cohere,4,False,True,True,True
LLM API,cohere,cohere,2026_current,2026-06-16,7.0.4,2026-06-11 15:17:51.247766+00:00,ok,cohere,cohere,5,False,True,True,True
LLM API,google-genai,google-genai,2022_end,2022-12-31,,,not_released_yet,google-genai,google-genai,1,True,False,False,False
LLM API,google-genai,google-genai,2023_end,2023-12-31,,,not_released_yet,google-genai,google-genai,2,True,False,False,False
LLM API,google-genai,google-genai,2024_end,2024-12-31,0.3.0,2024-12-17 19:21:22.888548+00:00,ok,google-genai,google-genai,3,False,True,True,True
LLM API,google-genai,google-genai,2025_end,2025-12-31,1.56.0,2025-12-17 12:35:03.717535+00:00,ok,google-genai,google-genai,4,False,True,True,True
LLM API,google-genai,google-genai,2026_current,2026-06-16,2.8.0,2026-06-03 22:55:36.598166+00:00,ok,google-genai,google-genai,5,False,True,True,True
