snapshot_label,snapshot_order,category,source,target,dependency_layer,is_runtime_dependency,is_optional_extra_dependency,weight,source_version
2022_end,1,Model Runtime,accelerate,black,optional_extra,False,True,2,0.15.0
2022_end,1,Model Runtime,accelerate,comet-ml,optional_extra,False,True,1,0.15.0
2022_end,1,Model Runtime,accelerate,datasets,optional_extra,False,True,3,0.15.0
2022_end,1,Model Runtime,accelerate,deepspeed,optional_extra,False,True,3,0.15.0
2022_end,1,Model Runtime,accelerate,evaluate,optional_extra,False,True,3,0.15.0
2022_end,1,Model Runtime,accelerate,flake8,optional_extra,False,True,2,0.15.0
2022_end,1,Model Runtime,accelerate,hf-doc-builder,optional_extra,False,True,2,0.15.0
2022_end,1,Model Runtime,accelerate,isort,optional_extra,False,True,2,0.15.0
2022_end,1,Model Runtime,accelerate,numpy,runtime,True,False,1,0.15.0
2022_end,1,Model Runtime,accelerate,packaging,runtime,True,False,1,0.15.0
2022_end,1,Model Runtime,accelerate,parameterized,optional_extra,False,True,3,0.15.0
2022_end,1,Model Runtime,accelerate,psutil,runtime,True,False,1,0.15.0
2022_end,1,Model Runtime,accelerate,pytest,optional_extra,False,True,3,0.15.0
2022_end,1,Model Runtime,accelerate,pytest-subtests,optional_extra,False,True,3,0.15.0
2022_end,1,Model Runtime,accelerate,pytest-xdist,optional_extra,False,True,3,0.15.0
2022_end,1,Model Runtime,accelerate,pyyaml,runtime,True,False,1,0.15.0
2022_end,1,Model Runtime,accelerate,rich,optional_extra,False,True,2,0.15.0
2022_end,1,Model Runtime,accelerate,sagemaker,optional_extra,False,True,1,0.15.0
2022_end,1,Model Runtime,accelerate,scikit-learn,optional_extra,False,True,3,0.15.0
2022_end,1,Model Runtime,accelerate,scipy,optional_extra,False,True,3,0.15.0
2022_end,1,Model Runtime,accelerate,tensorboard,optional_extra,False,True,1,0.15.0
2022_end,1,Model Runtime,accelerate,torch,runtime,True,False,1,0.15.0
2022_end,1,Model Runtime,accelerate,tqdm,optional_extra,False,True,3,0.15.0
2022_end,1,Model Runtime,accelerate,transformers,optional_extra,False,True,3,0.15.0
2022_end,1,Model Runtime,accelerate,wandb,optional_extra,False,True,1,0.15.0
2022_end,1,Model Runtime,datasets,absl-py,optional_extra,False,True,2,2.8.0
2022_end,1,Model Runtime,datasets,aiohttp,runtime,True,False,1,2.8.0
2022_end,1,Model Runtime,datasets,apache-beam,optional_extra,False,True,3,2.8.0
2022_end,1,Model Runtime,datasets,bert-score,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,black,optional_extra,False,True,2,2.8.0
2022_end,1,Model Runtime,datasets,dill,runtime,True,False,1,2.8.0
2022_end,1,Model Runtime,datasets,elasticsearch,optional_extra,False,True,2,2.8.0
2022_end,1,Model Runtime,datasets,faiss-cpu,optional_extra,False,True,2,2.8.0
2022_end,1,Model Runtime,datasets,flake8,optional_extra,False,True,2,2.8.0
2022_end,1,Model Runtime,datasets,fsspec,runtime,True,False,1,2.8.0
2022_end,1,Model Runtime,datasets,huggingface-hub,runtime,True,False,1,2.8.0
2022_end,1,Model Runtime,datasets,importlib-metadata,runtime,True,False,1,2.8.0
2022_end,1,Model Runtime,datasets,isort,optional_extra,False,True,2,2.8.0
2022_end,1,Model Runtime,datasets,jiwer,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,langdetect,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,librosa,optional_extra,False,True,3,2.8.0
2022_end,1,Model Runtime,datasets,lz4,optional_extra,False,True,2,2.8.0
2022_end,1,Model Runtime,datasets,mauve-text,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,multiprocess,runtime,True,False,1,2.8.0
2022_end,1,Model Runtime,datasets,nltk,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,numpy,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,numpy,runtime,True,False,1,2.8.0
2022_end,1,Model Runtime,datasets,packaging,runtime,True,False,1,2.8.0
2022_end,1,Model Runtime,datasets,pandas,runtime,True,False,1,2.8.0
2022_end,1,Model Runtime,datasets,pillow,optional_extra,False,True,3,2.8.0
2022_end,1,Model Runtime,datasets,py7zr,optional_extra,False,True,2,2.8.0
2022_end,1,Model Runtime,datasets,pyarrow,runtime,True,False,1,2.8.0
2022_end,1,Model Runtime,datasets,pytest,optional_extra,False,True,2,2.8.0
2022_end,1,Model Runtime,datasets,pytest-datadir,optional_extra,False,True,2,2.8.0
2022_end,1,Model Runtime,datasets,pytest-xdist,optional_extra,False,True,2,2.8.0
2022_end,1,Model Runtime,datasets,pyyaml,optional_extra,False,True,2,2.8.0
2022_end,1,Model Runtime,datasets,pyyaml,runtime,True,False,1,2.8.0
2022_end,1,Model Runtime,datasets,rarfile,optional_extra,False,True,2,2.8.0
2022_end,1,Model Runtime,datasets,requests,runtime,True,False,1,2.8.0
2022_end,1,Model Runtime,datasets,requests-file,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,responses,runtime,True,False,1,2.8.0
2022_end,1,Model Runtime,datasets,rouge-score,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,s3fs,optional_extra,False,True,5,2.8.0
2022_end,1,Model Runtime,datasets,sacrebleu,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,sacremoses,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,scikit-learn,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,scipy,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,sentencepiece,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,seqeval,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,six,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,soundfile,optional_extra,False,True,2,2.8.0
2022_end,1,Model Runtime,datasets,spacy,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,sqlalchemy,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,tensorflow,optional_extra,False,True,4,2.8.0
2022_end,1,Model Runtime,datasets,tensorflow-gpu,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,tensorflow-macos,optional_extra,False,True,3,2.8.0
2022_end,1,Model Runtime,datasets,texttable,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,tldextract,optional_extra,False,True,2,2.8.0
2022_end,1,Model Runtime,datasets,toml,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,torch,optional_extra,False,True,4,2.8.0
2022_end,1,Model Runtime,datasets,torchaudio,optional_extra,False,True,2,2.8.0
2022_end,1,Model Runtime,datasets,tqdm,runtime,True,False,1,2.8.0
2022_end,1,Model Runtime,datasets,transformers,optional_extra,False,True,3,2.8.0
2022_end,1,Model Runtime,datasets,typer,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,werkzeug,optional_extra,False,True,1,2.8.0
2022_end,1,Model Runtime,datasets,xxhash,runtime,True,False,1,2.8.0
2022_end,1,Model Runtime,datasets,zstandard,optional_extra,False,True,2,2.8.0
2022_end,1,Model Runtime,diffusers,accelerate,optional_extra,False,True,3,0.11.1
2022_end,1,Model Runtime,diffusers,black,optional_extra,False,True,2,0.11.1
2022_end,1,Model Runtime,diffusers,datasets,optional_extra,False,True,3,0.11.1
2022_end,1,Model Runtime,diffusers,filelock,runtime,True,False,1,0.11.1
2022_end,1,Model Runtime,diffusers,flake8,optional_extra,False,True,2,0.11.1
2022_end,1,Model Runtime,diffusers,flax,optional_extra,False,True,2,0.11.1
2022_end,1,Model Runtime,diffusers,hf-doc-builder,optional_extra,False,True,3,0.11.1
2022_end,1,Model Runtime,diffusers,huggingface-hub,runtime,True,False,1,0.11.1
2022_end,1,Model Runtime,diffusers,importlib-metadata,runtime,True,False,1,0.11.1
2022_end,1,Model Runtime,diffusers,isort,optional_extra,False,True,2,0.11.1
2022_end,1,Model Runtime,diffusers,jax,optional_extra,False,True,2,0.11.1
2022_end,1,Model Runtime,diffusers,jaxlib,optional_extra,False,True,2,0.11.1
2022_end,1,Model Runtime,diffusers,k-diffusion,optional_extra,False,True,2,0.11.1
2022_end,1,Model Runtime,diffusers,librosa,optional_extra,False,True,2,0.11.1
2022_end,1,Model Runtime,diffusers,modelcards,optional_extra,False,True,2,0.11.1
2022_end,1,Model Runtime,diffusers,numpy,runtime,True,False,1,0.11.1
2022_end,1,Model Runtime,diffusers,parameterized,optional_extra,False,True,2,0.11.1
2022_end,1,Model Runtime,diffusers,pillow,runtime,True,False,1,0.11.1
2022_end,1,Model Runtime,diffusers,pytest,optional_extra,False,True,2,0.11.1
2022_end,1,Model Runtime,diffusers,pytest-timeout,optional_extra,False,True,2,0.11.1
2022_end,1,Model Runtime,diffusers,pytest-xdist,optional_extra,False,True,2,0.11.1
2022_end,1,Model Runtime,diffusers,regex,runtime,True,False,1,0.11.1
2022_end,1,Model Runtime,diffusers,requests,runtime,True,False,1,0.11.1
2022_end,1,Model Runtime,diffusers,safetensors,optional_extra,False,True,2,0.11.1
2022_end,1,Model Runtime,diffusers,scipy,optional_extra,False,True,2,0.11.1
2022_end,1,Model Runtime,diffusers,sentencepiece,optional_extra,False,True,2,0.11.1
2022_end,1,Model Runtime,diffusers,tensorboard,optional_extra,False,True,2,0.11.1
