category,file_path,import_name,package,record_type,symbol_name,symbol_type,top_module,parse_status,reason
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/noxfile.py,nox,openai,import,,,nox,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/async_demo.py,asyncio,openai,import,,,asyncio,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/async_demo.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/audio.py,pathlib,openai,import,,,pathlib,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/audio.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/azure.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/azure_ad.py,asyncio,openai,import,,,asyncio,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/azure_ad.py,openai.lib.azure,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/azure_ad.py,azure.identity,openai,import,,,azure,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/azure_ad.py,azure.identity.aio,openai,import,,,azure,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/bedrock.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/demo.py,openai,openai,import,,,openai,,
LLM API,genai_dependency_network/raw_collection_project/04_downloaded_distributions/openai/extracted/openai-2.41.1/examples/image_stream.py,base64,openai,import,,,base64,,
